word,pinyin,derivation,常用
革带移孔,gé dài yí kǒng,《南史·沈约传》言已老病，百日数旬，革带常应移孔。,0
革凡成圣,gé fán chéng shèng,南朝·梁武帝《敕舍道事佛》老子、周公、孔子等虽是如来弟子，而为化既邪，止是世间之善，不能革凡成圣。,0
革凡登圣,gé fán dēng shèng,隋炀帝《答释智顗遗旨书》世世生生，师资不阙，革凡登圣，给侍无亏。,0
革风易俗,gé fēng yì sú,无,0
革故鼎新,gé gù dǐng xīn,《周易·杂卦》革，去故也，鼎，取新也。,0
革故立新,gé gù lì xīn,曹禺《王昭君》第二幕他是以宽厚出名的，讲究忠信。是一个励精图治，革故立新的单于。,0
革奸铲暴,gé jiān chǎn bào,无,0
革旧从新,gé jiù cóng xīn,《魏书·食货志》今革旧从新，为里党之法，在所牧守，宜以喻民，使知去烦即简之要。,0
革旧鼎新,gé jiù dǐng xīn,明·李贽《代深有告文》之二切以诵经者，所以明心见性，礼忏者，所以革旧鼎新。,0
革旧图新,gé jiù tú xīn,宋·刘克庄《宝学颜尚书神道碑》国势岌岌如此，乞下哀痛之诏，风厉有位，革旧图新，以回天意。,0
革旧维新,gé jiù wéi xīn,元·宫大用《范张鸡黍》文武氏革旧维新，周公礼百王兼备。,0
革面革心,gé miàn gé xīn,明·杨慎《送薛曲泉之镇雄勘夷手卷词》笑鄙夫畏首尾，蔚蔚九变豹，俾心人革面革心，惠我无私。,0
革面敛手,gé miān liǎn shǒu,无,0
革面悛心,gé miàn quān xīn,唐·刘禹锡《代谢赴行营表》以忠义感胁从之伍，以含弘安反侧之徒。革面悛心，期乎不日。,0
革面洗心,gé miàn xǐ xīn,《周易·系辞上》圣人以此洗心，退藏于密。《周易·革》君子豹变，小人革面。《抱朴子·用刑》洗心而革面者，必若清波之涤轻尘。,0
革命创制,gé mìng chuàng zhì,《汉书·叙传下》革命创制，三章是纪，应天顺民，五星同晷。,0
革命反正,gé mìng fǎn zhèng,《周易·革》汤武革命，顺乎天而应乎人。《公羊传·哀公十四年》拨乱世，反诸正，莫近诸《春秋》。,0
革图易虑,gé tú yì lǜ,《后汉书·袁绍传》若乃天启尊心，革图易虑，则我将军匍匐悲号于将军股掌之上。,0
革邪反正,gé xié fǎn zhèng,晋·葛洪《抱朴子·勖学》荡汰积埃，革邪反正。,0
革心易行,gé xīn yì xíng,汉·贾谊《新书·先醒》于是革心易行，衣苴布，食疄(田改丰)馂，昼学道而夕讲之。,0
革新变旧,gé xīn biàn jiù,《南齐书·文学传·祖冲之》今臣所立，易以取信。但踪核始终，大存缓密，革新变旧，有约有繁。,0
格不相入,gé bù xiāng rù,鲁迅《而已集·读书杂谈》如果专是请教别人，则各人的嗜好不同，总是格不相入的。,0
格高意远,gé gāo yì yuǎn,宋·王禹偁《送丁谓序》去年得富春生孙何文数十篇，格高意远，大得六经旨趣。,0
格格不纳,gē gē bù nà,清·昭槤《啸亭杂录·诗文涩体》其《新唐书》好用僻字涩句，以矜其博，使人读之，胸臆间格格不纳，殊不爽朗。,0
格格不入,gé gé bù rù,《礼记·学记》发然后禁，则抜格而不胜。,0
格格不吐,gē gē bù tǔ,清·何焯《义门读书记·元丰类稿》《上欧阳舍人书》文弱而碎，其论事又格格不吐，此少作故也。,0
格古通今,gé gǔ tōng jīn,明·无名氏《东篱赏菊》第四折贤才抱德隐田园，格古通今众所传。今番诏取为官后，保祚皇图亿万年。,0
格杀不论,gé shā bù lùn,《后汉书·刘盆子传》诸卿皆老傭也。今日设君臣之礼，反更殽乱，儿戏尚不如此，皆可格杀。,0
格杀弗论,gé shā fú lùn,清·夏燮《中西纪事·粤民义师》洋人入其界者，登时格杀弗论。,0
格杀无论,gé shā wú lùn,郭沫若《中国史稿》第五编第三章第三节清政府以‘格杀无论’对付人民，人民也以‘格杀无论’对待卖国贼。,0
格杀勿论,gé shā wù lùn,《后汉书·刘盆子传》诸卿皆老傭也。今日设君臣之礼，反更殽乱，儿戏尚不如此，皆可格杀。,0
格物穷理,gé wù qióng lǐ,明·方孝孺《答郑仲辩》其无待于外，近之于复性正心，广之于格物穷理。,0
格物致知,gé wù zhì zhī,《礼记·大学》致知在格物，物格而后知至。,0
格于成例,gé yú chéng lì,《儿女英雄传》第三六回内中只有安公子此时不但自知旗人格于成例，向来没个点鼎甲的，便是他在前十名也早密密的得了信儿了。,0
葛屦履霜,gě jù lǚ shuāng,《诗经·魏风·葛屦》纠纠葛屦，可以履霜？《幼学琼林·卷二·衣服类》葛屦履霜，诮俭啬之过甚。,0
隔岸观火,gé àn guān huǒ,唐·乾康《投谒齐已》隔岸红尘忙似火，当轩青嶂冷如冰。,0
隔壁撺椽,gé bì cuān chuán,《雍煕乐府·点绛唇·妓者嗟怨》隔壁撺椽没忖量，更那堪不大量。,0
隔壁听话,gé bì tīng huà,明·唐顺之《答王遵岩书》盖非特文章气节平生所劼力而事者，既于真性不切及所闻于经书师友与意见之所窥测，而自以为道者，亦竟如隔壁听话，全无交涉。,0
隔年皇历,gé nián huáng lì,清·夏敬渠《野叟曝言》第一百回隔年的皇历，好一本子冷帐，闲看要捉虱子，没工夫去揭他了。,0
隔皮断货,gé pí duàn huò,《歧路灯》第八回不是为他中了举，便说深远。只是那光景儿，我就估出来六七分。兄弟隔皮断货，是最有眼色的。,0
隔墙有耳,gé qiáng yǒu ěr,《管子·君臣下》墙有耳，伏寇在侧。墙有耳者，微谋外泄之谓也。,0
隔世之感,gé shì zhī gǎn,郭沫若《洪波曲·后记》仅仅相隔两年，所写的东西，读起来就已经有隔世之感了。,0
隔屋撺椽,gé wū cuān chuán,元·乔吉《两世姻缘》第一折有那等花木瓜长安少年，他每不斟量隔屋撺椽。,0
隔靴爬痒,gé xuē pá yǎng,清·钱大昭《迩言》卷六《朱子语类》云圣人只是识得性。百家纷纷，只是不识性字。扬子鹘鹘突突，荀子又所谓隔靴爬痒。,0
隔靴搔痒,gé xuē sāo yǎng,宋·严羽《沧浪诗语·诗法》意贵透澈，不可隔靴搔痒。,0
隔靴抓痒,gé xuē zhuā yǎng,《续景德传灯录·安德子胜禅师》若也扬眉瞬目，又是鬼弄精魂，更或拈拂敲床，大似隔靴抓痒。,0
个中妙趣,gè zhōng miào qù,宋·陆游《剑南诗稿·十一·对酒二首》个中妙趣谁堪语，最是初醮未醉时。,0
个中滋味,gè zhōng zī wèi,宋·向子谚《西江月·绍兴丁巳，遍走浙东诸郡……》居士何如学士，翰林休笑芗林。个中真味少知音，不是清狂太甚。,0
各安生业,gè ān shēng yè,《北史·隋炀帝纪》轻徭薄赋，比屋各安其业。,0
各奔前程,gè bèn qián chéng,明·凌濛初《二刻拍案惊奇》卷三十万户升了边上参将，各奔前程去了。,0
各不相谋,gè bù xiāng móu,《论语·卫灵公》子曰‘道不同，不相为谋。’,0
各不相让,gè bù xiāng ràng,冯玉祥《我的生活》第二十三章于是两方明争暗斗，各不相让，一天利（历）害一天。,0
各持己见,gè chí jǐ jiàn,宋·钱易《南部新书·乙》凡中书有军国政事，则中书舍人各执所见，杂署其名，谓之五花判事。,0
各从其志,gè cóng qí zhì,《史记·伯夷列传》道不同，不相为谋，亦各从其志也。,0
各得其所,gè dé qí suǒ,《周易·系辞下》日中为市，致天下之民，聚天下之货，交易而退，各得其所。,0
各得其宜,gè dé qí yí,《荀子·正论》圣王在上，图德而定次，量能而授官，皆使民载其事而各得其宜。,0
各个击破,gè gè jī pò,毛泽东《中国的红色政权为什么能够存在》集中红军相机应付当前之敌，反对分兵，避免被敌人各个击破。,0
各尽所能,gè jìn suǒ néng,《后汉书·曹褒传》汉遭秦余，礼坏乐崩，且因循故事，未可观省，有知其说者，各尽所能。,0
各就各位,gè jiù gè wèi,徐迟《汉水桥头》所有的人已各就各位，摆好了阵势。,0
各取所长,gè qǔ suǒ cháng,唐·吴兢《贞观政要》用人如器，各取所长。,0
各取所需,gè qǔ suǒ xū,巴金《在尼斯》读者们不是一块铁板，他们有各人的看法，他们是‘各取所需’。,0
各色各样,gè sè gè yàng,清·李绿园《歧路灯》第87回却说盛公子一派话儿，把官亲投任的人，各色各样，形容的一个详而且尽。,0
各色名样,gè sè gè yàng,清·李绿园《歧路灯》第八十七回却说盛公子一派话儿，把官亲投任的人，各色名样，形容的一个祥而且尽。,0
各色人等,gè sè rén děng,蔡东藩、许廑父《民国通俗演义》第六十一回各色人等，务望各安本分，勿再稍事纷扰，自召虚惊。,0
各式各样,gè shì gè yàng,茅盾《子夜》十二毒太阳晒得马路上的柏油发软，汽车轮辗过，就印成了各式各样的花纹。,0
各抒己见,gè shū jǐ jiàn,唐·李翱《李文权文集·陵庙日时朔祭议》先儒穿凿，各伸己见，皆托古圣贤之名以信其语，故其所记各不同也。,0
各抒所见,gè shū suǒ jiàn,郑观应《盛世危言·议院》中国历代帝王继统，分有常尊，然而明良喜起，吁咈庚歌，往往略分言情，各抒所见。,0
各司其事,gè sī qí shì,明·冯梦龙《东周列国志》第八十四回今日便须派定路数，各司其事。,0
各为其主,gè wèi qí zhǔ,《三国志·魏志·曹爽传》裴松之注引《世语》及爽解印绶，将出，主簿杨综止之曰‘公挟主握权，舍此以至东市乎？’爽不从。有司奏综导爽反，宣王曰‘各为其主也。’宥之，以为尚书郎。,0
各行其是,gè xíng qí shì,《庄子·徐无鬼》天下非有公是也，而各是其所是。,0
各行其志,gè xíng qí zhì,《北史·宇文孝伯传》尉迟运惧，私谓孝伯曰‘吾徙必不免祸，奈何？’孝伯曰‘今堂上有老母，地下有武帝，为臣为子，知欲何之！且委质事人，本徇名义，谏而不入，将焉逃死？足下若为身计，宜远之。’于是各行其志。,0
各有千秋,gè yǒu qiān qiū,汉·李陵《与苏武三首》嘉会难再遇，三载为千秋。,0
各有所长,gè yǒu suǒ chéng,《管子·形势解》明主之官物也，任其所长，不任其所短，故事无不成，而功无不立。乱主不知物之各有所长所短也。,0
各有所短,gè yǒu suǒ duǎn,《史记·白起王翦列传》……及孙王离为项羽所虏，不亦宜乎！彼各有所短也。,0
各有所好,gè yǒu suǒ hào,唐·萧颖士《仰答韦司业垂访五首》缅怀云岩路，欲往无由缘；物各有所好，违之伤自然。,0
各有所职,gè yǒu suǒ zhí,《周礼·天官·冢宰》高官分职注各有所职，而百事举。,0
各执己见,gè zhí jǐ jiàn,宋·钱易《南部新书·乙》凡中书有军国政事，则中书舍人各执所见，杂署其名，谓之五花判事。,0
各执一词,gè zhí yī cí,明·冯梦龙《醒世恒言》卷二十九两下各执一词，难以定招。,0
各自为战,gè zì wéi zhàn,《史记·项羽本纪》君王能自陈以东傅海，尽与韩信；睢阳以北至谷城，以与彭越；使各自为战，则楚易败也。,0
各自为政,gè zì wéi zhèng,《诗经·小雅·节南山》不自为政，卒劳百姓。《左传·宣公二年》畴昔之羊，子为政，今日之事，我为政。,0
根椽片瓦,gēn chuán piàn wǎ,元·张国宾《合汗衫》第二折将我这铜斗儿般大院深宅，苦也囉苦也囉，可怎生烧的来剩不下些根椽片瓦。,0
根孤伎薄,gēn gū jì báo,南朝·宋·鲍照《侍郎报满辞阁疏》日晏途绕，块然自丧，加以无良，根孤伎薄，既同冯衍负困之累，复抱相如痟渴之疾。,0
根结盘固,gēn jié pán gù,《续资治通鉴·宋钦宗靖康元年》根结盘固，牢不可脱。,0
根结盘据,gēn jié pán jù,《新唐书·文艺传下·李翰》有如贼因江淮之资，兵广而财积，根结盘据，西向以拒，虽终歼灭，其旷日持久必矣。,0
根据盘互,gēn jù pán hù,《资治通鉴·魏邵陵厉公嘉平元年》殿中宿卫，易以私人，根据盘互，纵恣日甚。,0
根据槃互,gēn jù pán hù,《三国志·魏志·曹爽传》殿中宿卫，历世旧人皆复斥出，欲置新人以树私计。根据槃互，纵恣日甚。,0
根牢蒂固,gēn láo dì gù,《醒世姻缘传》第九十回从来说‘腊雪培元气’，把麦根培植得根牢蒂固。,0
根连株拔,gēn lián zhū bá,明·田艺蘅《留青日札·严嵩》传闻二处所抄不及十四五，盖行赂于权要者十二三，顿寄于亲戚者十三四，郿坞久营，兔窟多术，安能根连株拔，风翦霆灭。,0
根连株逮,gēn lián zhū dǎi,《元典章·刑部二·系狱》小有词诉，根连株逮，动至什伯，系累满途，囹圄成市。,0
根盘蒂结,gēn pán dì jié,明·李东阳《读唐史》惟公言正论，不可则止，而根盘蒂结于君心者，不可猝拔。,0
根蟠节错,gēn pán jié cuò,明·李东阳《灵寿杖歌》根蟠节错相纠缠，含风饱雪经炎寒。,0
根深本固,gēn shēn běn gù,《淮南子·泰族训》不大其栋，不能任重。重莫若国，栋莫若德。国主之有民也，犹城之有基，木之有根。根深则本固，基美则上宁。五帝三王之道，天下之纲纪，治之仪表也。,0
根深柢固,gēn shēn dǐ gù,《韩非子·解老》柢固则生长，根深则视久。,0
根深蒂固,gēn shēn dì gù,《老子》有国之母，可以长久，是谓深根固柢，长生久视之道。《韩非子·解老》柢固则生长，根深则视久。,0
根深蒂结,gēn shēn dì jié,宋·周煇《清波杂志》卷八某流落江湖二十年，兄弟异立，未能成家，重以场屋蹉跌，遂失身于介馆马慧，岁月滋久，根深蒂结，生育男女，于义有不可负者。,0
根深叶茂,gēn shēn yè mào,汉·刘安《屏风赋》维兹屏风，出自幽谷，根深枝茂，号为乔木。,0
根深枝茂,gēn shēn zhī mào,《艺文类聚》卷六九引汉·刘安《屏风赋》根深枝茂，号曰乔木。,0
根生土长,gēn shēn tǔ zhǎng,清·曹雪芹《红楼梦》第五十四回他又不是咱们家根生土长的奴才，没受过咱们什么大恩典。,0
根牙盘错,gēn yá pán cuò,无,0
根牙磐错,gēn yá pán cuò,无,0
根株附丽,gēn zhū fù lì,明·唐顺之《与周约庵中丞论项守》又自罗翁当国，为缙绅所辐辏，而永嘉之人根株附丽，攫美官鼓声势者尤众。,0
根株结盘,gēn zhū jié pán,《宋史·奸臣传二·蔡京》患失之心无所不至，根株结盘，牢不可脱。,0
根株牵连,gēn zhū qiān lián,《新唐书·李德裕传赞》身为名宰相，不能损所憎，显示挤以仇，使比周势成，根株牵连，贤智播奔，而王室亦衰，宁明有未哲欤？,0
亘古不灭,gèn gǔ bù miè,无,0
亘古亘今,gèn gǔ gèn jīn,明·王守仁《传习录》上卷若解向里寻求，见得自己心体，即无时不是此道，亘古亘今，无终无始。,0
亘古奇闻,gèn gǔ qī wén,明·凌濛初《初刻拍案惊奇》卷一从来稀有，亘古奇闻。,0
亘古通今,gèn gǔ tōng jīn,南朝·宋·鲍照《河清颂》亘古通今，明鲜晦多。,0
亘古未有,gèn gǔ wèi yǒu,《北齐书·王纮传》冒死效命之士反见屠戮，旷古未有此事。清·平步青《霞外捃屑》卷四太青晚作《嘉莲》诗，七言今体至四百余首，亘古未有。,0
亘古新闻,gèn gǔ xīn wén,明·凌濛初《初刻拍案惊奇》第一卷从来稀有，亘古新闻。,0
更长梦短,gēng cháng mèng duǎn,明·胡文焕《群音类选〈清腔类·步步娇〉》可怜正凄凉正眠，冷清清把纱窗半掩，更长梦短使人愁闷添。,0
更唱迭和,gēng chàng dié hé,战国·楚·宋玉《高唐赋》当年邀游，更唱迭和，赴曲随流。清·钱泳《履园丛话·园林·逸园》太史之女曰蕴玉者，自号生香居士，亦能诗，与在山更唱迭和。,0
更唱叠和,gēng chàng dié hé,明·宋濂《寄和右丞温迪罕诗卷序》吾昔在中州文物府中更唱叠和者，为何如耶？,0
更待干罢,gèng dài gàn bà,无,0
更进一竿,gèng jìn yī gān,宋·释道原《景德传灯录》卷十师示一偈曰‘百丈竿头不动人，虽然得入未为真，百尺竿头须进步，十方世界是全身。’,0
更阑人静,gēng lán rén jǐng,宋·蔡绦《西清诗话》引杨鸾诗白日苍蝇满饭盘，夜间蚁子又成团；每到更深人静后，定来头人咬杨鸾。,0
更令明号,gēng lìng míng hào,《韩非子·外储说左上》居数月，有警，击鼓而民不赴。乃更令明号而民信之。,0
更名改姓,gèng míng gǎi xìng,无,0
更难仆数,gēng nán pú shù,《礼记·儒行》遽数之不能终其物，悉数之乃留，更仆未可终也。,0
更仆难尽,gèng pú nán jìn,梁启超《近世文明初祖二大家之学说》上篇如奈端因苹实坠地而悟吸力之理；瓦特因沸水蒸腾而悟汽机之理；如此类者，更仆难尽。,0
更仆难数,gēng pú nán shǔ,《礼记·儒行》遽数之不能终其物，悉数之乃留，更仆未可终也。,0
更仆难终,gēng pú nán zhōng,清·李斗《扬州画舫录·草河录上》凡此之类，更仆难终。,0
更深人静,gēng shēn rén jìng,宋·释道原《景德传灯录》卷十一师曰‘更深人静，共伊商量。’,0
更深夜静,gēng shēn yè jìng,汉·蔡琰《胡笳十八拍·第十四拍》山高地阔兮，见汝无期；更深夜阑兮，梦汝来斯。,0
更弦改辙,gēng xián gǎi zhé,明·宋濂《谕安南国诏》揆于大义，必讨无赦。如或更弦改辙，择日舘亲贤命而立之，庶几可赎前罪。,0
更弦易辙,gēng xián yì zhé,《明史·潘埙传》今春秋已盛，更弦易辙，此其时也。,0
更姓改物,gēng xìng gǎi wù,《国语·周语中》叔父若能光裕大德，更姓改物，以创制天下，自显庸也。韦昭注更姓，易姓也。改物，改正朔、易服色也。,0
庚癸频呼,gēng guǐ pín hū,《左传·哀公十三年》记载春秋时吴王夫差与晋、鲁等国会盟，吴大夫申叔仪向鲁大夫公孙有山氏乞粮。回答说梁则无矣，粗粮有之，若登首山以呼，曰‘庚癸乎！’则诺。,0
庚癸之呼,gēng guǐ zhī hū,《左传·哀公十三年》记载春秋时吴王夫差与晋、鲁等国会盟，吴大夫申叔仪向鲁大夫公孙有山氏乞粮。回答说梁则无矣，粗粮有之，若登首山以呼，曰‘庚癸乎！’则诺。,0
耕当问奴,gēng dāng wèn nú,《宋书·沈庆之传》治国如治家。耕当问奴，织当访婢。,0
耕耘树艺,gēng yún shù yì,《荀子·子道》夙兴夜寐，耕耘树艺，手足胼胝，以养其身。,0
羹藜含糗,gēng lí hán qiǔ,隋·王通《中说·王道》越公以《食经》遗子，子不受，曰‘羹藜含糗，无所用也。’,0
羹藜唅糗,gēng lí hán qiǔ,《文选·王褒〈圣主得贤臣颂〉》羹藜唅糗者，不足与论太牢之滋味。,0
绠短汲深,gěng duǎn jí shēn,《庄子·至乐》褚小者不可以怀大，绠短者不可以汲深。,0
绠短绝泉,gěng duǎn jué quán,南朝·宋·谢灵运《陇西行》柱小倾大，绠短绝泉。,0
耿耿于怀,gěng gěng yú huái,《诗经·邶风·柏舟》耿耿不寐，如有隐忧。,0
耿耿于心,gěng gěng yú xīn,《诗经·邶风·柏舟》耿耿不寐，如有隐忧。,0
梗泛萍漂,gěng fàn píng piāo,元·张国宾《罗李郎》第二折只为他孤身去梗泛萍漂，撇的俺三口儿梦断魂劳。,0
梗泛萍飘,gěng fàn píng piāo,元·张国宾《罗李郎》第二折只为他孤身去梗泛萍飘，撇的俺三口儿梦断均魂劳,0
梗迹蓬飘,gěng jì péng piāo,明·范受益《寻亲记·相逢》梗迹蓬飘，跋踶山川岂惮劳。,0
梗迹萍踪,gěng jì píng zōng,明·单本《蕉帕记·寻春》休夸绣虎雕龙，那值时危国破，怎发付梗迹萍踪。,0
梗顽不化,gěng wán bù huà,《续儿女英雄传》第一回目下山东有名绿茶，可知道他们形状否；内中可有能劝化改行的，还有梗顽不化，本事十分利害的否？要一一请教。,0
工力悉敌,gōng lì xī dí,宋·计有功《唐诗纪事·上官昭容》及闻其评曰‘二诗工力悉敌。’,0
弓调马服,gōng diào mǎ fú,《荀子·哀公》弓调而后求劲焉，马服而后求良焉。,0
弓影杯蛇,gōng yǐng bēi shé,清·沈复《浮生六记·闺房记乐》一灯如豆，罗帐低垂，弓影杯蛇，惊神未定。,0
弓影浮杯,gōng yǐng fú bēi,明·刘炳《鄱城归舟》诗弓影浮杯疑老病，鸡声牵梦动离愁。,0
弓折刀尽,gōng zhé dāo jìn,宋·释道原《景德传灯录》今日拟打罗山寨，弓折刀尽。,0
公报私仇,gōng bào sī chóu,明·冯梦龙《醒世恒言》卷二十九汪知县公报私仇，借家人卢才的假人命，装在我名下，要加小的死罪。,0
公报私雠,gōng bào sī chóu,无,0
公才公望,gōng cái gōng wàng,南朝·宋·刘义庆《世说新语·品藻》孔愉有公才而无公望；丁潭有公望而无公才，兼之者其在卿乎？,0
公道合理,gōng dào hé lǐ,西戎《纠纷》工要评的公道合理，确实是件不容易的事。,0
公而忘私,gōng ér wàng sī,郭沫若《水平线下·到宜兴去》像他这样不折不扣的国而忘家，公而忘私的人，泱泱的中国中，究竟能有几个？,0
公尔忘私,gōng ěr wàng sī,明·李贽《晃错》[晃错]公尔忘私，而其父又唯知日夜伤晃氏之不安矣。,0
公耳忘私,gōng ěr wàng sī,汉·贾谊《治安策》化成俗定，则为人臣者，主耳忘身，国耳忘家，公耳忘私。利不苟就，害不苟去，唯义所在，上之化也。,0
公规密谏,gōng guī mì jiàn,《三国志·魏志·桓阶传》时太子未定，而临菑侯植有宠，阶数陈文帝德优齿长，宜为储副，公规密谏，前后恳至。,0
公买公卖,gōng mǎi gōng mài,无,0
公门桃李,gōng mén táo lǐ,《资治通鉴·唐纪则天顺圣皇后久视元年》或谓仁杰曰‘天下桃李，悉在公门矣。’,0
公明正大,gōng míng zhèng dà,清·陈确《翠薄山房帖》若一本于公明正大之心，则岂直如此而已。,0
公平合理,gōng píng hé lǐ,毛泽东《三大运动的伟大胜利》只要美国政府愿意在公平合理的基础上解决问题，不再如过去那样用种种可耻的方法破坏和阻挠谈判的进行，则朝鲜的停战谈判是可能成功的。,0
公平交易,gōng píng jiāo yì,明·吴承恩《西游记》第68回公平交易，又不化他，又不抢他，何罪之有！,0
公平无私,gōng píng wú sī,《战国策·秦策》法令至行，公平无私。,0
公平正直,gōng píng zhèng zhí,元·孙仲章《勘头巾》第四折也只要全大人体面，方才得公平正直万人传。,0
公事公办,gōng shì gōng bàn,宋·魏了翁《奏外寇未静二相不咸旷天工而违明几》自今公事公言，进而明目张胆以陈之论奏，退而同心协虑以见之施行，毋面从而背违也。,0
公是公非,gōng shì gōng fēi,唐·刘禹锡《天论上》人能胜乎天者，法也。法大行，则是为公是，非为公非，天下之人蹈道必赏，违之必罚。,0
公私兼顾,gōng sī jiān gù,毛泽东《抗日时期的经济问题和财政问题》在公私关系上，就是'公私兼顾'，或叫'军民兼顾'。,0
公私交困,gōng sī jiāo kùn,《明史·食货志六》虚糜干没，公私交困焉。,0
公私两便,gōng sī liǎng biàn,《晋书·阮种传》若人有所患苦者，有宜损益，使公私两济者，委曲陈之。,0
公私两济,gōng sī liǎng jì,《晋书·阮种传》若人有所患苦者，有宜损益，使公私两济者，委曲陈之。,0
公私两利,gōng sī liǎng lì,《文献通考·征榷四》惟有于耍闹坊场之地，听民酝造，纳税之后，从便酤卖，实为公私两利。,0
公听并观,gōng tīng bìng guān,《三国志·魏书·蒋济传》臣窃亮陛下潜神默思，公听并观，若事有未见于理而物未周于用，将改曲易调，远与黄唐角功，近昭文武之迹，岂近习而已哉？,0
公正不阿,gōng zhèng bù ē,宋·陆游《老学庵笔记》第九卷相之本主元祐政事者，然其言公正不阿如此，可谓贤矣。,0
公正廉洁,gōng zhèng lián jié,清·昭槤《啸亭杂录·金元史》劾其贪酷诸款，而后又言其公正廉洁、惜名器、重士节诸语。,0
公正廉明,gōng zhèng lián míng,清·李宝嘉《官场现形记》第三十七回二则象大帅这样公正廉明，做属员的人，只要自己谨慎小心……还愁将来不得差缺吗？,0
公正无私,gōng zhèng wú sī,《荀子·赋》公正无私，反见纵横。《淮南子·修务训》若夫尧眉八彩，九窍通洞，而公正无私，一言而万民齐。,0
公之于众,gōng zhī yú zhòng,无,0
公忠体国,gōng zhōng tǐ guó,郭沫若《奴隶制时代·〈侈靡篇〉的研究》办外交的人有私心是不行的，一定要用公忠体国的有才能的人，来办这项国事。,0
公诸同好,gōng zhū tóng hào,三国·魏·曹植《与杨德祖书》虽未能藏之于名山，将以传之于同好。,0
公子哥儿,gōng zǐ gē ér,清·文康《儿女英雄传》第五回见安公子那一番举动，早知他是不通世路艰难，人情利害的一个公子哥儿。,0
公子王孙,gōng zǐ wáng sūn,《战国策·楚策四》不知夫公子王孙左挟弹，右摄丸，将加己乎十仞之上，以其类为招。,0
功败垂成,gōng bài chuí chéng,《三国志·杨阜传》弃垂成之功，陷不义之名，阜以死守之。《晋书·谢玄传论》庙算有余，良图不果；降龄何促，功败垂成。,0
功标青史,gōng biāo qīng shǐ,唐·杜甫《赠郑十八贲》诗古人日以远，青史自不泯。,0
功薄蝉翼,gōng bó chán yì,汉·蔡邕《让高阳乡侯章》臣事轻葭莩，功薄蝉翼。,0
功成不居,gōng chéng bù jū,《老子》第二章生而不有，为而不恃，功成而不居。,0
功成弗居,gōng chéng fú jū,明·李贽《史纲评要·周纪·赧王》功成弗居，贤将所难。,0
功成骨枯,gōng chéng gǔ kū,语出唐·曹松《己亥岁》诗之一凭君莫话封侯事，一将功成万骨枯。,0
功成名就,gōng chéng míng jiù,《墨子·修身》功成名遂，名誉不可虚假。,0
功成名遂,gōng chéng míng suì,《墨子·修身》功成名遂，名誉不可虚假。,0
功成身退,gōng chéng shēn tuì,《老子》第九章功成、名遂、身退，天之道。,0
功成行满,gōng chéng xíng mǎn,元·岳伯川《铁拐李》楔子等他功成行满，贫道再去点化他。,0
功德无量,gōng dé wú liàng,《汉书·丙吉传》所以拥全神灵，成育圣躬，功德已无量矣。,0
功德圆满,gōng dé yuán mǎn,隋·隋炀帝《入朝遣使参书》奉五月二日诲，用慰驰结，仰承衡岳，功德圆满，便致荆巫。,0
功盖天下,gōng gài tiān xià,唐·李复言《续玄怪录·李卫公靖》其后竟以兵权静寇难，功盖天下。元·无名氏《赚蒯通》第二折勇略震主者身危，功盖天下者不赏，正此之谓也。,0
功高不赏,gōng gāo bù shǎng,无,0
功高盖世,gōng gāo gài shì,唐浩明《曾国藩》二部二章小人在江湖上，到处听说将军功高盖世。,0
功高望重,gōng gāo wàng zhòng,明·孙梅锡《琴心记·相如受世》将军不必怨怅，你功高望重，不久自明。,0
功高震主,gōng gāo zhèn zhǔ,《史记·淮阴侯列传》臣闻勇略震主者身危，而功盖天下者不赏。,0
功亏一篑,gōng kuī yī kuì,《尚书·旅獒》为山九仞，功亏一篑。,0
功名富贵,gōng míng fù guì,唐·李白《江上吟》功名富贵若长在，汉水亦应西北流。明·洪应明《菜根谭·应酬》功名富贵，直从灭处观究竟，则贪恋自轻；横逆困穷，直从起处究由来，则怨尤自息。,0
功名利禄,gōng míng lì lù,郭沫若《南冠草》第一幕只因功名利禄得不到保障，所以他们便想到要和流寇苟合，铤而走险。,0
功若丘山,gōng ruò qiū shān,无,0
功遂身退,gōng suí shēn tuì,《老子》金玉满堂，莫之能守，富贵而骄，自遗其咎，功遂身退天之道。,0
功行圆满,gōng xíng yuán mǎn,元·岳伯川《铁拐李》楔子等他功成行满，贫道再去点化他。,0
功一美二,gōng yī měi èr,无,0
攻城掠地,gōng chéng lüě dì,无,0
攻城略地,gōng chéng lüè dì,《淮南子·兵略训》攻城略地，莫不降下。,0
攻城野战,gōng chéng yě zhàn,《墨子·节用上》攻城野地死者，不可胜数。,0
攻过箴阙,gōng guò zhēn què,晋·葛洪《抱朴子·汉过》进则切辞正论，攻过箴阙；退则端诚杜私，知无不为者。,0
攻疾防患,gōng jí fáng huàn,南朝·梁·刘勰《文心雕龙·铭箴》箴者，所以攻疾防患，喻针石也。,0
攻苦茹酸,gōng kǔ rú suān,明·袁宏道《寿洪太母七十序》母攻苦茹酸，和丸课子。,0
攻苦食啖,gōng kǔ shí dàn,《史记·刘敬叔孙通列传》吕后与陛下攻苦食啖，其可背哉。,0
攻苦食淡,gōng kǔ shí dàn,《史记·刘敬叔孙通列传》吕后与陛下攻苦食啖（淡）。,0
