成语,拼音,出处,解释,常用
生死相依,shēng sǐ xiāng yī,无,生与死互相依靠。形容同命运、共存亡。,2
十万火急,shí wàn huǒ jí,曹禺《王昭君》第二幕启奏陛下！鸡鹿寨十万火急，羽书传到长安，请圣裁。,形容非常紧急。,2
势如破竹,shì rú pò zhú,《晋书·杜预传》今兵威已振，譬如破竹，数节之后，皆迎刃而解。,形势像劈竹子一样。比喻节节胜利，毫无阻碍。,2
手不释卷,shǒu bù shì juàn,《三国志·吴书·吕蒙传》注引《江表传》光武当兵马之务，手不释卷。,形容勤勉好学。,2
鼠目寸光,shǔ mù cùn guāng,无,比喻目光短浅、见识浅薄。,2
数不胜数,shǔ bù shèng shǔ,《方岩记静》类似这样的奇迹灵异，还数不胜数，所以一年四季，方岩香火不绝，而尤以春秋为盛。,数也数不过来。形容很多。,2
水天一色,shuǐ tiān yī sè,唐·王勃《滕王阁诗序》落霞与孤鹜齐飞，秋水共长天一色。,水和天连在一起，颜色相同。形容水域广阔。,2
四面楚歌,sì miàn chǔ gē,《史记·项羽本纪》项王军壁垓下，兵少食尽，汉军及诸侯兵围之数重。夜闻汉军四面皆楚歌，项王乃大惊，曰'汉皆已得楚乎？是何楚人之多也。',比喻四面受敌、孤立无援的困境。,2
堂堂正正,táng táng zhèng zhèng,《孙子·军争》无要正正之旗，勿击堂堂之陈，此治变者也。,形容光明正大。,2
滔滔不绝,tāo tāo bù jué,五代后周·王仁裕《开元天宝遗事·走丸之辩》张九龄善谈论，每与宾客议论经旨，滔滔不竭，如下阪走丸也。,形容话多，连续不断。,2
天外有天,tiān wài yǒu tiān,《敦煌曲·何满子四首》其四金河一去路千千，欲到天边更有天。,比喻一个比一个强。,2
甜言蜜语,tián yán mì yǔ,元·马致远《岳阳楼》第二折化一盏茶吃，你可是甜言蜜语的，出家人那里不是积福处。,为了讨好或哄骗人而说的好听的话。,2
亭亭玉立,tíng tíng yù lì,明·张岱《公祭祁夫人文》一女英迈出群，亭亭玉立。,形容身材细长秀美或花木等挺拔。,2
痛定思痛,tòng dìng sī tòng,唐·韩愈《与李翱书》今而思之，如痛定之人，思当痛之时，不知何能自处也。,悲痛的心情平静后，回想当时的痛苦。,2
头头是道,tóu tóu shì dào,《续传灯录·慧力洞源禅师》方知头头皆是道，法法本圆成。,形容说话或做事有条有理。,2
吞吞吐吐,tūn tūn tǔ tǔ,清·文康《儿女英雄传》第五回你一味的吞吞吐吐，支支吾吾，你把我作何等人看待。,形容说话不干脆，有顾虑。,2
万马奔腾,wàn mǎ bēn téng,明·凌濛初《初刻拍案惊奇·钱多处白丁横带》空中如万马奔腾，树杪似千军拥沓。,形容声势浩大、场面壮观。,2
万人空巷,wàn rén kōng xiàng,宋·苏轼《八月十七复登望海楼》诗赖有明朝看潮在，万人空巷斗新妆。,形容盛大集会或新奇事物吸引众人出动的情景。,2
万象更新,wàn xiàng gēng xīn,清·曹雪芹《红楼梦》第七十回如今正是初春时节，万物更新，正该鼓舞另立起来才好。,一切事物都呈现出新的气象。,2
万紫千红,wàn zǐ qiān hóng,宋·朱熹《春日》诗等闲识得东风面，万紫千红总是春。,形容春花盛开或事物丰富多彩。,2
威风凛凛,wēi fēng lǐn lǐn,明·罗贯中《三国演义》第七回看那少年，生得身长八尺，浓眉大眼，阔面重颐，威风凛凛。,形容声势或气派使人敬畏。,2
为虎作伥,wèi hǔ zuò chāng,《太平广记》卷四百三十伥鬼，被虎所食之人也，为虎前呵道耳。宋·孙光宪《北梦琐言逸文》卷四凡死于虎，溺于水之鬼号为伥，须得一人代之。,比喻做恶人的帮凶。,2
文质彬彬,wén zhì bīn bīn,《论语·雍也》质胜文则野，文胜质则史，文质彬彬，然后君子。,形容人既有文采又很质朴。,2
无动于衷,wú dòng yú zhōng,清·李宝嘉《官场现形记》第三十三回以至顶到如今，偏偏碰着这位制军是不轻容易见客的，他见也好，不见也好，便也漠然无动于中了。,心里一点不受感动。,2
无懈可击,wú xiè kě jī,《孙子·计》攻其无备，出其不意。曹操注击其懈怠，出其空虚。,没有可以被攻击的漏洞。形容非常严密。,2
五花八门,wǔ huā bā mén,《虞初新志·孙嘉淦》伏龙以西，群峰乱峙，四布罗列，如平沙万幕，八门五花。,比喻变化多端或花样繁多。,2
五颜六色,wǔ yán liù sè,清·李汝珍《镜花缘》第十四回惟各人所登之云，五颜六色，其形不一。,形容色彩丰富多样。,2
息息相关,xī xī xiāng guān,无,呼吸相关联。比喻关系密切。,2
喜笑颜开,xǐ xiào yán kāi,清·李汝珍《镜花缘》第九十九回穿过牌楼，人来人往，莫不喜笑颜开。,形容十分高兴、笑容满面的样子。,2
相貌堂堂,xiàng mào táng táng,明·吴承恩《西游记》第五十四回御弟相貌堂堂，丰姿英俊，诚是天朝上国之男儿，南赡中华之人物。,形容人的仪表端正、魁伟。,2
心旷神怡,xīn kuàng shén yí,宋·范仲淹《岳阳楼记》登斯楼也，则有心旷神怡，宠辱皆忘，把酒临风，其喜洋洋者也。,心情舒畅，精神愉快。,2
心平气和,xīn píng qì hé,宋·苏轼《菜羹赋》先生心平而气和，故虽老而体胖。,心情平静，态度温和。,2
心心念念,xīn xīn niàn niàn,宋·释普济《五灯会元》卷十五心心不停，念念不住。,指心里老是想着。,2
心猿意马,xīn yuán yì mǎ,汉·魏伯阳《参同契》注心猿不定，意马四驰。唐·许浑《题杜居士》诗机尽心猿伏，神闲意马行。,心思不专一，像猿跳马跑一样。,2
欣喜若狂,xīn xǐ ruò kuáng,清·霁园主人《夜谭随录·护军女》少年得其应答，惊喜若狂。,高兴得像发狂一样。,2
形形色色,xíng xíng sè sè,《列子·天瑞》有形者，有形形者，有色者，有色色者。,形容种类繁多，各式各样。,2
形影不离,xíng yǐng bù lí,清·纪昀《阅微草堂笔记》卷二青县农家少妇，性轻佻，随其夫操作，形影不离。,像形体和影子那样分不开。形容关系密切。,2
学海无涯,xué hǎi wú yá,明·张岱《小序》学海无边，书囊无底。世间书怎读得尽。,知识像大海一样无边无际。,2
学无止境,xué wú zhǐ jìng,清·刘开《问说》理无专在，而学无止境也，然则问可少耶？,学习没有止境。,2
奄奄一息,yǎn yǎn yī xī,明·冯梦龙《东周列国志》第八十七回惠王亲往问疾，见痤病势已重，奄奄一息。,形容生命垂危，只剩一口气。,2
扬长避短,yáng cháng bì duǎn,无,发扬长处，避开短处。,2
仰不愧天,yǎng bù kuì tiān,《孟子·尽心上》仰不愧于天，俯不怍于人。,抬头对天无愧。比喻没有做亏心事。,2
叶公好龙,yè gōng hào lóng,汉·刘向《新序·杂事》记载叶公子高非常喜欢龙，器物上刻着龙，房屋上也画着龙。真龙知道了，来到叶公家里，把头探进窗子。叶公一见，吓得拔腿就跑。,比喻表面上爱好某事物，实际上并不真正爱好。,2
异想天开,yì xiǎng tiān kāi,清·李汝珍《镜花缘》第八十一回这可谓异想天开了。,比喻想法离奇，难以实现。,2
意气风发,yì qì fēng fā,无,形容精神振奋、气势昂扬。,2
影影绰绰,yǐng yǐng chuò chuò,明·兰陵笑笑生《金瓶梅词话》第六十二回我不知怎的，但没人在房里，心里只害怕，恰似影影绰绰，有人在眼前一般。,模模糊糊，不清晰。,2
悠然自得,yōu rán zì dé,唐·房玄龄等《晋书·苻坚载记·附王猛》自不参其神契，略不与交通，是以浮华之士咸轻而笑之。猛悠然自得，不以屑怀。,形容心情舒畅、自由自在的样子。,2
有口无心,yǒu kǒu wú xīn,清·张南庄《何典·序》总属有口无心，安用设身处地。,说话直率但没有恶意。,2
玉宇琼楼,yù yǔ qióng lóu,宋·苏轼《念奴娇·凭高眺远》词玉宇琼楼，乘鸾来去，人在清凉国。明·何景明《嫦娥图》诗玉宇琼楼闭早秋，金蟾玉兔啼寒夜。,形容壮丽的宫殿。,2
郁郁葱葱,yù yù cōng cōng,汉·王充《论衡·吉验》城郭郁郁葱葱。《后汉书·光武纪》望气者至南阳，曰'气佳哉，郁郁葱葱！,形容草木苍翠茂盛。,2
郁郁寡欢,yù yù guǎ huān,战国楚·屈原《九章·抽思》心郁郁之忧思兮，独永叹乎增伤。,形容心里苦闷、烦闷不乐。,2
鹬蚌相争,yù bàng xiāng zhēng,清·湘灵子《轩亭冤·哭墓》波翻血海全球悯，问谁敢野蛮法律骂强秦？笑他鹬蚌相争演出风云阵。,比喻双方相争，两败俱伤，让第三者得利。,2
源源不绝,yuán yuán bù jué,《孟子·万章上》欲常常而见之，故源源而来。,连续不断。,2
跃跃欲试,yuè yuè yù shì,清·李宝嘉《官场现形记》第三十五回一席话说得唐二乱子心痒难抓，跃跃欲试。,形容心里急切地想试试。,2
凿壁偷光,záo bì tōu guāng,《西京杂记》卷二匡衡字稚圭，勤学而无烛，邻舍有烛而不逮，乃穿壁引其光，以书映光而读之。,形容勤学苦读。,2
战战兢兢,zhàn zhàn jīng jīng,《诗经·小雅·小昮》战战兢兢，如临深渊，如履薄冰。,形容非常害怕或小心谨慎的样子。,2
振振有辞,zhèn zhèn yǒu cí,清·梁启超《关税权问题》今者外人之以排外相诬者，既振振有词，其乌可更为无谋之举，以授之口实也。,形容理直气壮地说个不停。,2
蒸蒸日上,zhēng zhēng rì shàng,无,形容事物天天向上发展。,2
指鹿为马,zhǐ lù wéi mǎ,《史记·秦始皇本纪》赵高欲为乱，恐群臣不听，乃先设验，持鹿献于二世，曰'马也。'二世笑曰'丞相误邪？谓鹿为马。'问左右，左右或默，或言马以阿顺赵高。,比喻故意颠倒是非。,2
志同道合,zhì tóng dào hé,《三国志·魏志·陈思王植传》昔伊尹之为媵臣，至贱也，吕尚之处屠钓，至陋也，乃其见举于汤武、周文，诚道合志同，玄漠神通，岂复假近习之荐，因左右之介哉。,志向相同，意见相合。,2
蛛丝马迹,zhū sī mǎ jì,清·王家贲《别雅序》大开通同转假之门，泛滥浩博，几凝天下无字不可通用，而实则蛛丝马迹，原原本本，具在古书。,比喻隐约可寻的线索。,2
孜孜不倦,zī zī bù juàn,《尚书·君陈》惟日孜孜，无敢逸豫。《后汉书·鲁丕传》性沉深好学，孳孳不倦。《三国志·蜀书·向朗传》乃更潜心典籍，孜孜不倦。,形容勤奋努力，不知疲倦。,2
孜孜以求,zī zī yǐ qiú,无,勤奋努力地追求。,2
自相矛盾,zì xiāng máo dùn,《韩非子·难一》楚人有鬻盾与矛者，誉之曰'吾盾之坚，莫之能陷也。'又誉其矛曰'吾矛之利，于物无不陷也。'或曰'以子之矛陷子之盾，何如？'其人勿能应也。,比喻言语或行为自相抵触。,2
左思右想,zuǒ sī yòu xiǎng,明·冯梦龙《东周列国志》第八十八回左思右想，欲求自脱之计。,反复考虑。,2
座无虚席,zuò wú xū xí,《晋书·王浑传》时吴人新附，颇怀畏惧。浑抚循羁旅，虚怀绥纳，座无空席，门不停宾，于是江东之士莫不悦附。,座位没有空着的。形容观众或出席者很多。,2
